species,bird_group,United_Kingdom,Vietnam,Australia,New_Zealand,Indonesia,Malaysia,Thailand,Spain,Comments,Image_link,Favourites
Great Northern Diver,,TRUE,,,,,,,,,https://base-prod.rspb-prod.magnolia-platform.com/dam/jcr:7d81dacd-47ae-4479-bb9d-5a789ef85eed/681264343-Species-Great-Northern-Diver-ADULT-SUMMER-PLUMAGE_2%20adults-with-young-on-back.jpg,
Great Spotted Woodpecker,,TRUE,,,,,,,,,https://base-prod.rspb-prod.magnolia-platform.com/dam/jcr:1c54874a-df19-4a92-99d3-f219268e45b8/731053603-Species-Great-Spotted-Woodpecker-ADULT-MALE-On-mossy-log.jpg,
Great Tit,Tits,TRUE,,,,,,,TRUE,,https://images.birdfact.com/production/great-tit-bird.jpg?w=1200&h=900&q=80&fm=webp&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0.5&dm=1682250503&s=98e64068d7422567c85d24845fcbd9e1,
Greater Coucal,,,,,,,,TRUE,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/126393221/1800,TRUE
Greater Crested Tern,Gulls and Terns,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/122568491/1800,TRUE
Greater Racket Tailed Drongo,,,,,,,,TRUE,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/126547991/1800,TRUE
Green Oriole ,,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125794871/1800,
Green Woodpecker,,TRUE,,,,,,,,,https://base-prod.rspb-prod.magnolia-platform.com/dam/jcr:fd821ce5-b093-48d3-9690-19a358271236/1712268277-Species-Green-Woodpecker-FEMALE-on-floor.jpg,
Greenfinch,Sparrows and Finches,TRUE,,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/44588041/1800,
Greenshank,Waders,TRUE,,,,,,,,,https://base-prod.rspb-prod.magnolia-platform.com/dam/jcr:6b427cd0-a50b-4c65-9083-d7e3e07c45d4/1887777874-Species-Greenshank-2-stood-with-reeds.jpg,
Grey Fantail,,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125802171/1800,
Grey Headed Fish Eagle,Birds of Prey,,,,,,,TRUE,,,https://singaporebirds.com/wp-content/uploads/2021/07/grey-headed-fish-eagle-190926-120nd500-fyp_7019-n.jpg,
Grey Heron,Herons and Egrets,TRUE,,,,,,,TRUE,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/254741801/1800,
Grey Wagtail,,TRUE,,,,,,,TRUE,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/44950691/900,
Greylag Goose,Ducks Geese and Swans,TRUE,,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/162799271/1800,
Griffon Vulture,Vultures,,,,,,,,TRUE,,https://images.birdfact.com/production/griffon-vulture.jpg?w=1200&h=900&q=80&fm=webp&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0.5&dm=1617724028&s=14bcb8f3575981cdfbfb1f492e358f66,
Guillemot,,TRUE,,,,,,,,,https://base-prod.rspb-prod.magnolia-platform.com/dam/jcr:51fe5837-3ab4-4432-b2fc-9cfbc801c647/1121115950-Species-Guillemot-ADULT-SUMMER-stood-on-rock-with-sea.jpg,
Herring Gull,Gulls and Terns,TRUE,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f2/Larus_argentatus01.jpg,
Hornbill Friarbird,,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125406161/1800,TRUE
House Crow,Corvids Starlings and Thrushes,,,,,,TRUE,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/126364851/1800,
House Martin,Hirundines,TRUE,,,,,,,TRUE,,https://www.birdguides-cdn.com/cdn/gallery/birds/housemartin5.jpg?&width=1000,
House Sparrow,Sparrows and Finches,TRUE,,TRUE,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/9b/House_sparrow_male_in_Prospect_Park_%2853532%29.jpg,
House Swift,Hirundines,,,,,,,TRUE,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/158679021/900,
Indian Peafowl,,TRUE,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/97326781/1800,
Indian Pond Heron,Herons and Egrets,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/126568571/1800,
Jack Snipe,Waders,TRUE,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Jack_snipe.png/1200px-Jack_snipe.png,
Jackdaw,Corvids Starlings and Thrushes,TRUE,,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/45035361/1800,
Javan Kingfisher,Kingfishers,,,,,TRUE,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/438434641/,TRUE
Javan Munia,Sparrows and Finches,,,,,TRUE,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/321244021/,
Javan Myna,,,,,,TRUE,,TRUE,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/158683931/1800,
Javan Pond Heron,Herons and Egrets,,,,,TRUE,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/219753041/900,
Kākā,Parrots and Cockatoos etc,,,,TRUE,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/110149211/1800,TRUE
Kererū,Doves and Pigeons,,,,TRUE,,,,,,https://www.visitzealandia.com/portals/0/Images/Birds/Kereru-Brendon-Doran.jpg,TRUE
King Parrot,Parrots and Cockatoos etc,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/122710031/1800,TRUE
Kittiwake,Gulls and Terns,TRUE,,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/303332511/1800,
Knot,Waders,TRUE,,,,,,,,,https://birdaware.org/solent/wp-content/uploads/sites/2/2021/11/Knot-SS.jpg,
Lapwing,Waders,TRUE,,,,,,,,,https://base-prod.rspb-prod.magnolia-platform.com/dam/jcr:74131df0-df53-4f5c-883a-c826e083f804/2112682088-Species-Lapwing-stood-in-grass.jpg,
Large Billed Crow,Corvids Starlings and Thrushes,,,,,,,TRUE,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/85864161/1800,
